company_name,website,email,phone,date_added,emailed,attempts
vdsgroup,https://vdsgroup.co.za,info@vdsgroup.co.za,,2026-08-23,Sent,1
caraudiowarehouse,https://caraudiowarehouse.co.za,info@caraudiowarehouse.co.za,,2026-08-23,Sent,1
vegagraphics,https://vegagraphics.co.za,info@vegagraphics.co.za,021 949 1186,2026-08-23,Sent,1
mikemsuspensions,https://mikemsuspensions.co.za,info@mikemsuspensions.co.za,,2026-08-23,Sent,1
cubbicars,https://cubbicars.co.za,info@cubbicars.co.za,,2026-08-23,Sent,1
capetowntracking,https://capetowntracking.com,info@capetowntracking.com,+27 72 405 9640,2026-08-23,Sent,1
goldfieldslogistics,https://goldfieldslogistics.co.za,info@goldfieldslogistics.co.za,056 514 9300,2026-08-23,Sent,1
unisafecape,https://unisafecape.co.za,info@unisafecape.co.za,,2026-08-23,Sent,1
avautos,https://avautos.co.za,sales@avautos.co.za,068 149 6928,2026-08-23,Sent,1
sparesboyz,https://sparesboyz.com,info@sparesboyz.com,,2026-08-23,Sent,1
autos1000,https://autos1000.com,info@autos1000.com,,2026-08-23,Sent,1
autotrader,https://autotrader.co.za,info@autotrader.co.za,,2026-08-23,Sent,1
davelbostoncoach,https://davelbostoncoach.com,debc-logo-color@2x.png,,2026-08-23,Sent,1
autoglasscapetown,https://autoglasscapetown.co.za,info@autoglasscapetown.co.za,021 010 1978,2026-08-23,Sent,1
racecoast,https://racecoast.co.za,info@racecoast.co.za,0800 006 008,2026-08-23,Sent,1
safecosafety,https://safecosafety.co.za,info@safecosafety.co.za,,2026-08-23,Sent,1
carhire,https://carhire.co.za,info@carhire.co.za,,2026-08-23,Sent,1
drivania,https://drivania.com,info@drivania.com,,2026-08-24,Sent,1
starwheelsct,https://starwheelsct.co.za,kamil@starwheelsct.co.za,+27 87 164 8484,2026-08-24,Sent,1
autocapeacc,https://autocapeacc.co.za,info@autocapeacc.co.za,021 020 2226,2026-08-24,Sent,1
wpmc,https://wpmc.co.za,info@wpmc.co.za,021 557 1639,2026-08-24,Sent,1
wakaabuja,https://wakaabuja.com,info@wakaabuja.com,,2026-08-24,Sent,1
thecourierguy,https://thecourierguy.co.za,info@thecourierguy.co.za,,2026-08-24,Sent,1
modernautoparts,https://modernautoparts.co.za,support@modernautoparts.co.za,021-448-9982,2026-08-24,Sent,1
urgentgocourier,https://urgentgocourier.co.za,support@urgentgocourier.co.za,+27 10 023 4832,2026-08-24,Sent,1
panelproauto,https://panelproauto.co.za,info@panelproauto.co.za,+27 76 145 8768,2026-08-24,Sent,1
automotivedynamix,https://automotivedynamix.co.za,2johan@admx.co.za,021 981 8171,2026-08-24,Sent,1
motorworldlogistics,https://motorworldlogistics.co.za,info@motorworldlogistics.co.za,+27 21 204 1603,2026-08-24,Sent,1
ttsales,https://ttsales.co.za,info@ttsales.co.za,082 441 4499,2026-08-24,Sent,1
gracecouriers,https://gracecouriers.co.za,info@gracecouriers.co.za,074 382 0651,2026-08-24,Sent,1
avis,https://avis.co.za,customerservice@avis.co.za,0861 021 111,2026-08-24,Sent,1
folami,https://folami.co.za,admin@folami.co.za,067 821 9226,2026-08-24,Sent,1
kniperacing,https://kniperacing.com,info@kniperacing.com,082 493 8597,2026-08-24,Sent,1
capetransmissions,https://capetransmissions.co.za,info@capetransmissions.co.za,021-9483093,2026-08-24,Sent,1
securesoundfit,https://securesoundfit.co.za,yusri@securesoundfit.co.za,0614291297,2026-08-24,Sent,1
drivecodrivingschool,https://drivecodrivingschool.co.za,info@drivecodrivingschool.co.za,0822974086,2026-08-24,Sent,1
maxmotorsport,https://maxmotorsport.co.za,info@maxmotorsport.co.za,060 567 3261,2026-08-24,Sent,1
insurancenow,https://insurancenow.co.za,info@insurancenow.co.za,,2026-08-24,Sent,1
banditsigns,https://banditsigns.co.za,mauritz@banditgfx.co.za,011 462-5520,2026-08-24,Sent,1
goodhopetyres,https://goodhopetyres.co.za,info@goodhopetyres.co.za,,2026-08-24,Sent,1
capecars,https://capecars.co.za,info@capecars.co.za,,2026-08-24,Sent,1
mscsports,https://mscsports.co.za,info@mscsports.co.za,+27 11 646 7340,2026-08-24,Sent,1
kartingacademy,https://kartingacademy.co.za,info@kartingacademy.co.za,082 555 1373,2026-08-24,Sent,1
ges,https://ges.co.za,info@ges.co.za,,2026-08-24,Sent,1
bmwccct,https://bmwccct.co.za,info@bmwccct.co.za,+27 61 246 9824,2026-08-24,Sent,1
mhdtransport,https://mhdtransport.co.za,admin@mhdtransport.co.za,+27 83 700 0047,2026-08-24,Sent,1
bigapplemotors,https://bigapplemotors.co.za,sam@bigapplemotors.co.za,021 591 6448,2026-08-24,Sent,1
karting,https://karting.co.za,century@karting.co.za,064 978 0862,2026-08-24,Sent,1
sortlist,https://sortlist.com,u003eadvertise@influasia.com,,2026-08-24,Sent,1
ats-motorsport,https://ats-motorsport.co.za,lansdelldarren@ats-motorsport.co.za,+27 11 670 8400,2026-08-24,Sent,1
caperoadassist,https://caperoadassist.co.za,customercare@caperoadassist.co.za,0861 00 66 55,2026-08-24,Sent,1
rentacheapie,https://rentacheapie.co.za,info@rentacheapie.co.za,+27 21 510 2808,2026-08-24,Sent,1
carservicecity,https://carservicecity.net,5-star-rmi@2x.png,,2026-08-24,Sent,1
valuetyre,https://valuetyre.co.za,info@valuetyre.co.za,,2026-08-24,Sent,1
firstcarrental,https://firstcarrental.co.za,info@firstcarrental.co.za,,2026-08-24,Sent,1
michanic,https://michanic.co.za,info@michanic.co.za,,2026-08-24,Sent,1
millstockcars,https://millstockcars.co.za,info@millstockcars.co.za,,2026-08-24,Sent,1
blacklane,https://blacklane.com,legal@blacklane.com,,2026-08-24,Sent,1
speedy,https://speedy.co.za,info@speedy.co.za,,2026-08-24,Sent,1
secretcapetown,https://secretcapetown.co.za,info@secretcapetown.co.za,052025-11-12 12,2026-08-24,Sent,1
kingcars,https://kingcars.co.za,izzy@kingcars.co.za,068 037 4018,2026-08-24,Sent,1
isuzutruck,https://isuzutruck.co.za,info@cfaomobility.com,,2026-08-24,Sent,1
harkersauto,https://harkersauto.co.za,info@harkersauto.co.za,+27 73 163 9319,2026-08-24,Sent,1
alpinetruckandbus,https://alpinetruckandbus.co.za,info@alpinetruckandbus.co.za,,2026-08-24,Sent,1
supaquick,https://supaquick.com,info@supaquick.com,,2026-08-24,Sent,1
mcar,http://mcar.co.za,admin@mcar.co.za,021 712-3425,2026-08-24,Sent,1
deals4wheels,https://deals4wheels.co.za,info@deals4wheels.co.za,,2026-08-24,Sent,1
enterprise,https://enterprise.com,info@enterprise.com,,2026-08-24,Sent,1
woodford,https://woodford.co.za,customercare@woodford.co.za,0860 999 500,2026-08-24,Sent,1
cartime,https://cartime.co.za,info@cartime.co.za,0861 227 846,2026-08-24,Sent,1
cfaomobility,https://cfaomobility.co.za,info@cfaomobility.com,,2026-08-24,Sent,1
westerncape,https://westerncape.udsa.co.za,reception@udcapetown.co.za,,2026-08-24,Sent,1
tyremart,https://tyremart.co.za,info@tyremart.co.za,012 406 4818,2026-08-24,Sent,1
autoeurope,https://autoeurope.com,info@autoeurope.com,,2026-08-24,Sent,1
stevenjohnsoncars,https://stevenjohnsoncars.co.za,info@stevenjohnsoncars.co.za,,2026-08-24,Sent,1
motusford,https://motusford.co.za,ltshika@motusford.co.za,,2026-08-24,Sent,1
volvomerchandise,https://volvomerchandise.co.za,info@volvomerchandise.co.za,,2026-08-24,Sent,1
hertz,https://hertz.co.za,cust.relations@hertz.co.za,0861 600 136,2026-08-24,Sent,1
dttransport,https://dttransport.co.za,info@dttransport.co.za,,2026-08-24,Sent,1
cargocarelogistics,https://cargocarelogistics.co.za,info@cargocarelogistics.co.za,+27 82 492 4532,2026-08-24,Sent,1
wrapart,https://wrapart.co.za,sales@wrapart.co.za,083 891 5755,2026-08-24,Sent,1
brightonbodyandspray,https://brightonbodyandspray.co.za,quotes@brightonbodyandspray.co.za,021 981 6022,2026-08-24,Sent,1
salequipment,https://salequipment.co.za,david@salequipment.co.za,+27 84 369 3013,2026-08-24,Sent,1
llmotors,https://llmotors.co.za,admin@llmotors.co.za,0219301507,2026-08-24,Sent,1
williamsimpson,https://williamsimpson.co.za,ebrahim@williamsimpson.co.za,021 001 5536,2026-08-24,Sent,1
wrapafrica,https://wrapafrica.co.za,info@wrapafrica.co.za,076 494 1717,2026-08-24,Sent,1
decibelaudio,https://decibelaudio.co.za,darryn@decibelaudio.co.za,,2026-08-24,Sent,1
pacecarrental,https://pacecarrental.co.za,pta@pacecarrental.co.za,011 425 1666,2026-08-24,Sent,1
hammertime-mobilewash,https://hammertime-mobilewash.co.za,info@hammertime-mobilewash.co.za,,2026-08-24,Sent,1
wonderworxcw,https://wonderworxcw.co.za,info@wonderworxcw.co.za,065-802-6962,2026-08-24,Sent,1
scwcapetown,https://scwcapetown.co.za,info@scwgroup.co.za,,2026-08-24,Sent,1
arsolution,https://arsolution.co.za,arsafety@arsolution.co.za,+27 792 985 550,2026-08-24,Sent,1
intercityautomovers,https://intercityautomovers.co.za,info@intercityautomovers.co.za,+27 86 175 8511,2026-08-24,Sent,1
furyza,https://furyza.com,info@furyza.com,,2026-08-24,Sent,1
dssgautoglasses,https://dssgautoglasses.co.za,info@dssgautoglasses.co.za,,2026-08-24,Sent,1
towingcapetown,https://towingcapetown.co.za,info@towingcapetown.co.za,+27 76 837 4253,2026-08-24,Sent,1
brandmesafety,https://brandmesafety.co.za,info@brandmesafety.co.za,,2026-08-24,Sent,1
capetowngearbox,https://capetowngearbox.co.za,info@capetowngearbox.co.za,,2026-08-24,Sent,1
autocustoms,https://autocustoms.co.za,sales@autocustoms.co.za,067 945 8667,2026-08-24,Sent,1
avis,https://avis.com,long-termcalendar_icon@2x.png,,2026-08-24,Sent,1
liebenlogistics,https://liebenlogistics.co.za,info@liebenlogistics.co.za,021 987 0190,2026-08-24,Sent,1
spreelinemotors,https://spreelinemotors.co.za,info@spreelinemotors.co.za,,2026-08-24,Sent,1
audiocoustics,https://audiocoustics.co.za,info@audiocoustics.co.za,081 598 7961,2026-08-24,Sent,1
autoexecutive,https://autoexecutive.co.za,info@autoexecutive.co.za,,2026-08-24,Sent,1
smaudio,https://smaudio.co.za,info@smaudio.co.za,082 555 7435,2026-08-24,Sent,1
autowizz,https://autowizz.co.za,info@autowizz.co.za,021 511 4994,2026-08-24,Sent,1
thebusinessdirectory,https://thebusinessdirectory.co.za,info@thebusinessdirectory.co.za,,2026-08-24,Sent,1
auto-wizz,https://auto-wizz.com,info@autowizz.co.za,021 511 4994,2026-08-24,Sent,1
ttaudio,https://ttaudio.co.za,sales@ttaudio.co.za,,2026-08-24,Sent,1
autovil,https://autovil.co.za,info@autovil.co.za,,2026-08-24,Sent,1
truckport,https://truckport.co.za,sean@truckport.co.za,,2026-08-24,Sent,1
cardinalcoachworks,https://cardinalcoachworks.co.za,info@ccworks.co.za,021 554 3320,2026-08-24,Sent,1
autocarriers,https://autocarriers.co.za,andre.duplessis@autocarriers.co.za,078 600 7374,2026-08-24,Sent,1
compareloans,https://compareloans.co.za,info@compareloans.co.za,,2026-08-24,Sent,1
saautoparts,https://saautoparts.co.za,info@saautoparts.co.za,021 592 1660,2026-08-24,Sent,1
automovers,https://automovers.co.za,sales@automovers.co.za,010 023 0254,2026-08-24,Sent,1
capetowncaraudio,https://capetowncaraudio.co.za,info@capetowncaraudio.co.za,,2026-08-24,Sent,1
atlanticautoelectrical,https://atlanticautoelectrical.co.za,atlanticauto@telkomsa.net,076 605 9374,2026-08-24,Sent,1
barakahtyres,https://barakahtyres.co.za,info@barakahtyres.co.za,,2026-08-24,Sent,1
leopardspanelbeaters,https://leopardspanelbeaters.co.za,charles@leopardspanelbeaters.co.za,021 839 2778,2026-08-24,Sent,1
tonnesen,https://tonnesen.co.za,quote@tonnesen.co.za,021 674 3017,2026-08-24,Sent,1
razorautobody,https://razorautobody.co.za,info@razorautobody.co.za,0724949693,2026-08-24,Sent,1
safepro,https://safepro.co.za,info@safepro.co.za,,2026-08-24,Sent,1
insurancecurator,https://insurancecurator.com,info@insurancecurator.com,,2026-08-24,Sent,1
briefly,https://briefly.co.za,byron.pillay@briefly.co.za,,2026-08-24,Sent,1
masterparts,https://masterparts.com,swipe_indicator@2x.png,010 630 0557,2026-08-24,Sent,1
intellidrive,https://intellidrive.co.za,customercare@intellidrive.co.za,078 700 5822,2026-08-24,Sent,1
smikemotors,https://smikemotors.co.za,info@smikemotors.co.za,0782661441,2026-08-24,Sent,1
chinatownsa,https://chinatownsa.co.za,info@chinatownsa.co.za,,2026-08-24,Sent,1
toyota,https://toyota.co.za,info@toyota.co.za,,2026-08-24,Sent,1
thetrackingco,https://thetrackingco.co.za,info@thetrackingco.co.za,083 399 9937,2026-08-24,Sent,1
legendsauto,https://legendsauto.co.za,willem@legendsauto.co.za,082 626 0359,2026-08-24,Sent,1
cellstop,https://cellstop.co.za,info@cellstop.co.za,,2026-08-24,Sent,1
carcareclinic,https://carcareclinic.co.za,info@carcareclinic.co.za,082 836 9860,2026-08-24,Sent,1
thinklocal,https://thinklocal.co.za,info@thinklocal.co.za,,2026-08-24,Sent,1
thunderbrothers,https://thunderbrothers.co.za,info@thunderbrothers.co.za,,2026-08-24,Sent,1
yebobusiness,https://yebobusiness.co.za,info@yebobusiness.co.za,,2026-08-24,Sent,1
carservicecentrecapetown,https://carservicecentrecapetown.co.za,info@carservicecentrecapetown.co.za,,2026-08-24,Sent,1
nags,https://nags.co.za,info@nags.co.za,0800 45 3000,2026-08-24,Sent,1
myglass,https://myglass.co.za,info@myglass.co.za,0861 694 527,2026-08-24,Sent,1
wraptorscapetown,https://wraptorscapetown.com,wrap@wraptorscapetown.com,+27 64 964 3908,2026-08-25,Sent,1
bex,https://bex.co.za,sandro.gelonese@bex.co.za,011 929 9700,2026-08-25,Sent,1
nwe,https://nwe.co.za,info@nwe.co.za,010 001 1493,2026-08-25,Sent,1
motorandgeneral,https://motorandgeneral.co.za,info@motorandgeneral.co.za,021 552 9335,2026-08-25,Sent,1
felixbodyworks,https://felixbodyworks.co.za,info@felixbodyworks.co.za,,2026-08-25,Sent,1
motorsport,https://motorsport.co.za,info@motorsport.co.za,011 675 2220,2026-08-25,Sent,1
suspensioncity,https://suspensioncity.co.za,info@suspensioncity.co.za,067 720 5064,2026-08-25,Sent,1
btk53drivingschool,https://btk53drivingschool.co.za,info@btk53drivingschool.co.za,0681852987,2026-08-25,Sent,1
icarmechanics,https://icarmechanics.co.za,info@icarmechanics.co.za,+27 67 921 6606,2026-08-25,Sent,1
kebasmarketing,https://kebasmarketing.co.za,info@kebasmarketing.co.za,,2026-08-25,Sent,1
capetownbestplaces,https://capetownbestplaces.com,info@capetownbestplaces.com,,2026-08-25,Sent,1
millersmotors,https://millersmotors.co.za,info@millersmotors.co.za,,2026-08-25,Sent,1
onelogix,https://onelogix.com,touchcontact_us@onelogix.com,+27 11 396 904044,2026-08-25,Sent,1
mintwrapworks,https://mintwrapworks.com,sales@mintwrapworks.com,060 505 0896,2026-08-25,Sent,1
act-logistics,https://act-logistics.co.za,info@act-logistics.co.za,,2026-08-25,Sent,1
angriracing,https://angriracing.com,racing@angri.co.za,021 180 4990,2026-08-25,Sent,1
carquote,https://carquote.co.za,info@carquote.co.za,,2026-08-25,Sent,1
capemobiledetail,https://capemobiledetail.co.za,info@capemobiledetail.co.za,083 351 9904,2026-08-25,Sent,1
capetowndrivingschool,https://capetowndrivingschool.com,info@capetowndrivingschool.com,,2026-08-25,Sent,1
nearfinderza,https://nearfinderza.com,info@nearfinderza.com,,2026-08-25,Sent,1
sekologistics,https://sekologistics.com,info@sekologistics.com,,2026-08-25,Sent,1
springfieldgearbox,https://springfieldgearbox.co.za,don@springfieldgearbox.co.za,021 703 7167,2026-08-25,Sent,1
racelab,https://racelab.co.za,info@racelab.co.za,,2026-08-25,Sent,1
bizconnexity,https://bizconnexity.co.za,sales@bizconnexity.co.za,062 462 3967,2026-08-25,Sent,1
ter,https://ter.co.za,info@ter.co.za,,2026-08-25,Sent,1
tritonfleet,https://tritonfleet.co.za,info@tritonfleet.co.za,,2026-08-25,Sent,1
drivingschoolhub,https://drivingschoolhub.co.za,info@drivingschoolhub.co.za,,2026-08-25,Sent,1
autoandbeyond,https://autoandbeyond.co.za,river.0219305678info@autoandbeyond.co.za,0219305678,2026-08-25,Sent,1
c-h-logistics,https://c-h-logistics.com,marilienke@chlogistics.co.za,+27 31 301 0797,2026-08-25,Sent,1
findadrivingschool,https://findadrivingschool.co.za,info@findadrivingschool.co.za,,2026-08-25,Sent,1
webuycars,https://webuycars.co.za,info@webuycars.co.za,,2026-08-25,Sent,1
hippo,https://hippo.co.za,info@hippo.co.za,,2026-08-25,Sent,1
manwithvan,https://manwithvan.co.za,info@manwithvan.co.za,+2768 080 3708,2026-08-25,Sent,1
mayfairgearbox,https://mayfairgearbox.co.za,bongi@mfgb.co.za,011 872 2029,2026-08-25,Sent,1
automechanic,https://automechanic.co.za,info@automechanic.co.za,,2026-08-25,Sent,1
autoworks,https://autoworks.co.za,info@autoworks.co.za,021 200 7800,2026-08-25,Sent,1
heandshedrivingschool,https://heandshedrivingschool.co.za,info@heandshe.co.za,,2026-08-25,Sent,1
prestigecc,https://prestigecc.co.za,info@prestigecc.co.za,,2026-08-25,Sent,1
motorvia,https://motorvia.co.za,jhbsales@motorvia.co.za,083 455 4612,2026-08-25,Sent,1
africabizinfo,https://africabizinfo.com,info@africabizinfo.com,,2026-08-25,Sent,1
worrmotorsport,https://worrmotorsport.com,sales@worrmotorsport.com,+27 87 550 3031,2026-08-25,Sent,1
bdautobodyworks,https://bdautobodyworks.co.za,info@bdautobodyworks.co.za,067 166 0268,2026-08-25,Sent,1
mgcc-ct,http://mgcc-ct.co.za,info@mgcc-ct.co.za,,2026-08-25,Sent,1
carfinanceconsultants,https://carfinanceconsultants.co.za,webmaster@vmgsoftware.co.za,021 525 9779,2026-08-25,Sent,1
primelog,https://primelog.co.za,info@primelog.co.za,+27 21 699 8533,2026-08-25,Sent,1
grcgroup,http://grcgroup.co.za,info@grcgroup.co.za,,2026-08-25,Sent,1
strobeautoelectrical,https://strobeautoelectrical.co.za,info@strobeautoelectrical.co.za,,2026-08-25,Sent,1
mobilecarwashanddetailing,https://mobilecarwashanddetailing.co.za,info@mobilecarwashanddetailing.co.za,,2026-08-25,Sent,1
konnectsa,https://konnectsa.co.za,info@konnectsa.co.za,,2026-08-25,Sent,1
investec,https://investec.com,info@investec.com,,2026-08-25,Sent,1
scangl,https://scangl.com,headoffice@scangl.com,,2026-08-25,Sent,1
gtwraps,https://gtwraps.co.za,info@gtwraps.co.za,,2026-08-25,Sent,1
tgdcapetown,https://tgdcapetown.co.za,sales@tgdcapetown.co.za,+27 71 084 7973,2026-08-25,Sent,1
tracker,https://tracker.co.za,info@tracker.co.za,,2026-08-25,Sent,1
suspensionguru,http://suspensionguru.co.za,info@suspensionguru.co.za,051 285 0628,2026-08-25,Sent,1
allautoelectrical,https://allautoelectrical.co.za,info@allautoelectrical.co.za,+27 72 380 8637,2026-08-25,Sent,1
333signs,http://333signs.co.za,info@333signs.co.za,083 952 1088,2026-08-25,Sent,1
tlc-logistics,https://tlc-logistics.co.za,info@tlc-logistics.co.za,,2026-08-25,Sent,1
covercomparesa,https://covercomparesa.co.za,info@covercomparesa.co.za,,2026-08-25,Sent,1
southernworkwear,https://southernworkwear.co.za,info@southernworkwear.co.za,,2026-08-25,Sent,1
trusths,https://trusths.co.za,orders@trusths.co.za,021 701 7018,2026-08-25,Sent,1
mobilemechaniccapetown,https://mobilemechaniccapetown.co.za,info@mobilemechaniccapetown.co.za,079 268 827724,2026-08-25,Sent,1
gibsons,https://gibsons.co.za,info@gibsons.co.za,021 422 1374,2026-08-25,Sent,1
capetownwithkids,https://capetownwithkids.com,info@capetownwithkids.com,,2026-08-25,Sent,1
cancomsa,https://cancomsa.com,sales@cancomsa.co.zawe,0860 55 55 33,2026-08-25,Sent,1
panelbeatingsolutions,https://panelbeatingsolutions.co.za,info@panelbeatingsolutions.co.za,,2026-08-25,Sent,1
msports,https://msports.co.za,info@msports.co.za,,2026-08-25,Sent,1
satrucker,https://satrucker.co.za,info@satrucker.co.za,,2026-08-25,Sent,1
amrtowing,https://amrtowing.co.za,admin@amrtowing.co.za,072 448 5822,2026-08-25,Sent,1
titanictrucking,https://titanictrucking.co.za,judyr@titanictrucking.co.za,+27 21 905 5563,2026-08-25,Sent,1
rivoniacarsound,https://rivoniacarsound.co.za,sales@rivoniacarsound.co.za,082 565 0073,2026-08-25,Sent,1
webfleet,https://webfleet.com,info@webfleet.com,,2026-08-25,Sent,1
damasbodyworks,https://damasbodyworks.co.za,patience@damasbodyworks.co.za,+27215927339,2026-08-25,Sent,1
snaithracing,https://snaithracing.com,racing@snaithracing.com,,2026-08-25,Sent,1
thecapetownblog,https://thecapetownblog.com,info@thecapetownblog.com,,2026-08-25,Sent,1
netstar,https://netstar.co.za,altronethicsline@tip-offs.com,0860 12 24 36,2026-08-25,Sent,1
capeparts,https://capeparts.com,info@capeparts.com,041-487-1471,2026-08-25,Sent,1
rocketsigns,https://rocketsigns.co.za,info@rocketsigns.co.za,021 552 4783,2026-08-25,Sent,1
onecompare,https://onecompare.co.za,hello@onecompare.co.za,010 880 0489,2026-08-25,Sent,1
cticc,https://cticc.co.za,info@cticc.co.za,0647274973,2026-08-25,Sent,1
albaraka,https://albaraka.co.za,info@albaraka.co.za,,2026-08-25,Sent,1
easycarfinance,https://easycarfinance.co.za,info@easycarfinance.co.za,,2026-08-25,Sent,1
contactpanelbeaters,http://contactpanelbeaters.co.za,info@contactpanelbeaters.co.za,021 785 2902,2026-08-25,Sent,1
insuranceunlimited,https://insuranceunlimited.co.za,info@insuranceunlimited.co.za,021 701 9797,2026-08-25,Sent,1
motusselect,https://motusselect.co.za,dbrits@motusnissan.co.za,010 822 1966,2026-08-25,Sent,1
levergy,https://levergy.co.za,info@levergy.co.za,,2026-08-25,Sent,1
soundmatch,https://soundmatch.co.za,info@soundmatch.co.za,0861 768 636,2026-08-25,Sent,1
srussa,https://srussa.co.za,chantelle@srussa.co.za,+27 72 231 7653,2026-08-25,Sent,1
swiftdisplays,https://swiftdisplays.com,swift@swiftdisplays.com,021 534 0910,2026-08-25,Sent,1
mpcustomvalve,https://mpcustomvalve.co.za,info@mpcustomvalve.co.za,,2026-08-25,Sent,1
capecoastcustoms,https://capecoastcustoms.co.za,info@capecoastcustoms.co.za,021 376 5552,2026-08-25,Sent,1
motus,https://motus.co.za,info@motus.co.za,,2026-08-25,Sent,1
vehiclefinancesouthafrica,http://vehiclefinancesouthafrica.co.za,info@vehiclefinancesouthafrica.co.za,,2026-08-25,Sent,1
momentum,https://momentum.co.za,info@momentum.co.za,,2026-08-25,Sent,1
seapointtowing,https://seapointtowing.co.za,info@seapointtowing.co.za,082 957 1529,2026-08-25,Sent,1
racingtechnik,https://racingtechnik.com,info@racingtechnik.com,+27 21 380 0035,2026-08-25,Sent,1
pitstop,https://pitstop.co.za,info@pitstop.co.za,+27 21 551 9308,2026-08-25,Sent,1
steves,https://steves.co.za,info@steves.co.za,,2026-08-25,Sent,1
allquill,https://allquill.co.za,info@allquill.co.za,,2026-08-25,Sent,1
primelinelogistics,https://primelinelogistics.co.za,asheeq@primelinelogistics.co.za,,2026-08-25,Sent,1
frostlogistics,https://frostlogistics.co.za,info@frostlogistics.co.za,+27 21 905 8130,2026-08-25,Sent,1
fastwash,https://fastwash.co.za,info@fashwash.co.za,021 824 0888,2026-08-25,Sent,1
ryanscarwash,https://ryanscarwash.co.za,info@ryanscarwash.co.za,083 390 8699,2026-08-25,Sent,1
automotivex,https://automotivex.co.za,info@automotivex.co.za,,2026-08-25,Sent,1
chemistrylearner,https://chemistrylearner.com,info@chemistrylearner.com,,2026-08-25,Sent,1
usatoday,https://usatoday.com,info@usatoday.com,,2026-08-25,Sent,1
ubereats,https://ubereats.com,info@ubereats.com,,2026-08-25,Sent,1
twt,https://twt.co.za,info@twt.co.za,,2026-08-25,Sent,1
redhatsafety,https://redhatsafety.com,info@redhatsafety.com,,2026-08-25,Sent,1
performancetopeka,https://performancetopeka.com,mike@performancetiregroup.com,,2026-08-25,Sent,1
steamcommunity,https://steamcommunity.com,info@steamcommunity.com,,2026-08-25,Sent,1
dhl,https://dhl.com,info@dhl.com,,2026-08-25,Sent,1
mechstudies,https://mechstudies.com,info@mechstudies.com,,2026-08-25,Sent,1
weedmaps,https://weedmaps.com,info@weedmaps.com,,2026-08-25,Sent,1
cordovacourier,https://cordovacourier.com,dispatch@cordovacourier.com,,2026-08-25,Sent,1
fourtheye,https://fourtheye.net,info@fourtheye.net,,2026-08-25,Sent,1
community,https://community.veracode.com,info@community.veracode.com,,2026-08-25,Sent,1
cargurus,https://cargurus.com,info@cargurus.com,,2026-08-25,Sent,1
bitcatcha,https://bitcatcha.com,admin@bitcatcha.com,,2026-08-25,Sent,1
pre-owned,https://pre-owned.group1jaecoo.co.za,info@pre-owned.group1jaecoo.co.za,02420252026,2026-08-25,Sent,1
dscars,https://dscars.co.za,info@dscars.co.za,049 900 2021,2026-08-25,Sent,1
piazzatrucking,https://piazzatrucking.com,info@piazzatrucking.com,,2026-08-25,Sent,1
fr,https://fr.motorsport.com,sales@motorsport.com,,2026-08-25,Sent,1
chevrolet,https://chevrolet.com,info@chevrolet.com,,2026-08-25,Sent,1
computerhope,https://computerhope.com,info@computerhope.com,,2026-08-25,Sent,1
store,https://store.toolband.com,info@store.toolband.com,,2026-08-25,Sent,1
